date,source,facility_id,unit_id,street,city,state,postal_code,lat,lng,unit_label,width_ft,length_ft,height_ft,area_sqft,category,price,regular_price
2026-08-30,cubesmart,3032,74e6a7b4-44e0-41dd-93b1-d2f68cdfb780,1105 Waxhaw Indian Trail Rd,Indian Trail,NC,28079,35.06715,-80.67944,10x10,10.0,10.0,8.0,100.0,medium,51.0,102.0
2026-08-30,cubesmart,3032,74bf53eb-fad9-4fe1-9ec4-8d59d9059a9d,1105 Waxhaw Indian Trail Rd,Indian Trail,NC,28079,35.06715,-80.67944,10x15,10.0,15.0,8.0,150.0,medium,61.0,122.0
2026-08-30,cubesmart,3032,bbd01532-c511-434c-bd11-dba09d3f2f55,1105 Waxhaw Indian Trail Rd,Indian Trail,NC,28079,35.06715,-80.67944,10x15,10.0,15.0,8.0,150.0,medium,62.5,125.0
2026-08-30,cubesmart,3032,7e02efb6-b8ad-488e-9822-dda494ad9563,1105 Waxhaw Indian Trail Rd,Indian Trail,NC,28079,35.06715,-80.67944,10x20,10.0,20.0,8.0,200.0,large,103.0,206.0
2026-08-30,cubesmart,3032,e3dc5ee2-7ef6-4cfe-8d3b-530d0adacbe4,1105 Waxhaw Indian Trail Rd,Indian Trail,NC,28079,35.06715,-80.67944,10x20,10.0,20.0,10.0,200.0,large,80.5,161.0
2026-08-30,cubesmart,3032,6263013a-9531-4f5e-8031-99dee9f61168,1105 Waxhaw Indian Trail Rd,Indian Trail,NC,28079,35.06715,-80.67944,10x20,10.0,20.0,8.0,200.0,large,82.0,164.0
2026-08-30,cubesmart,3032,db9faada-3155-4e2a-a9be-e920c992a4eb,1105 Waxhaw Indian Trail Rd,Indian Trail,NC,28079,35.06715,-80.67944,10x30,10.0,30.0,8.0,300.0,large,151.5,303.0
2026-08-30,cubesmart,3032,a6ab561f-e789-4dea-ad94-5877e516069e,1105 Waxhaw Indian Trail Rd,Indian Trail,NC,28079,35.06715,-80.67944,10x35,10.0,35.0,8.0,350.0,large,212.5,425.0
2026-08-30,cubesmart,3032,f9560802-c771-4a09-a136-16da059f2f7d,1105 Waxhaw Indian Trail Rd,Indian Trail,NC,28079,35.06715,-80.67944,20 ft,,20.0,,,parking,132.6,221.0
2026-08-30,cubesmart,3032,cbf28230-ce8f-42d4-8af2-ac90af6a9306,1105 Waxhaw Indian Trail Rd,Indian Trail,NC,28079,35.06715,-80.67944,20x20,20.0,20.0,8.0,400.0,large,236.0,472.0
2026-08-30,cubesmart,3032,38e635c7-fbc1-4442-b205-76d036b86b3b,1105 Waxhaw Indian Trail Rd,Indian Trail,NC,28079,35.06715,-80.67944,25 ft,,25.0,,,parking,129.6,216.0
2026-08-30,cubesmart,3032,b0dd66c6-9a1c-4aa9-bdda-63606420af25,1105 Waxhaw Indian Trail Rd,Indian Trail,NC,28079,35.06715,-80.67944,30 ft,,30.0,,,parking,131.4,219.0
2026-08-30,cubesmart,3032,170ddad7-2fab-4e74-9189-b2bbb0fca51a,1105 Waxhaw Indian Trail Rd,Indian Trail,NC,28079,35.06715,-80.67944,40 ft,,40.0,,,parking,163.2,272.0
2026-08-30,cubesmart,3032,6f4d20f1-d08c-4d45-b5f6-2c21a41cb5cd,1105 Waxhaw Indian Trail Rd,Indian Trail,NC,28079,35.06715,-80.67944,5x10,5.0,10.0,8.0,50.0,small,27.0,54.0
2026-08-30,cubesmart,3032,f6f8f3b9-260f-482f-b93b-e812ac91bd77,1105 Waxhaw Indian Trail Rd,Indian Trail,NC,28079,35.06715,-80.67944,5x10,5.0,10.0,8.0,50.0,small,27.0,54.0
2026-08-30,cubesmart,3032,1d9f74ff-22be-4b88-bd2d-39069f73fa40,1105 Waxhaw Indian Trail Rd,Indian Trail,NC,28079,35.06715,-80.67944,5x10,5.0,10.0,8.0,50.0,small,33.0,66.0
2026-08-30,cubesmart,3032,253d2140-8475-4e9d-a4af-f18283eff955,1105 Waxhaw Indian Trail Rd,Indian Trail,NC,28079,35.06715,-80.67944,5x15,5.0,15.0,8.0,75.0,small,34.5,69.0
2026-08-30,cubesmart,3032,6efbaf75-26bd-4cd2-bf7f-84955552af81,1105 Waxhaw Indian Trail Rd,Indian Trail,NC,28079,35.06715,-80.67944,5x5,5.0,5.0,8.0,25.0,small,15.5,31.0
2026-08-30,cubesmart,3032,970c3799-9b55-4c02-8716-130d3e0a7427,1105 Waxhaw Indian Trail Rd,Indian Trail,NC,28079,35.06715,-80.67944,5x7.5,5.0,7.5,10.0,37.5,small,17.0,34.0
2026-08-30,cubesmart,3032,bce0e4a6-a657-4440-a94c-9bc97573c4bf,1105 Waxhaw Indian Trail Rd,Indian Trail,NC,28079,35.06715,-80.67944,5x7.5,5.0,7.5,10.0,37.5,small,22.0,44.0
2026-08-30,cubesmart,3032,4eb40c4a-f3f5-464f-b092-c439869f8216,1105 Waxhaw Indian Trail Rd,Indian Trail,NC,28079,35.06715,-80.67944,7.5x10,7.5,10.0,10.0,75.0,small,31.5,63.0
2026-08-30,cubesmart,3282,6b9ccc50-d9f5-4c8d-94f8-3c1c98eb3bcc,12710 Lancaster Hwy,Pineville,NC,28134,35.06947,-80.87911,10x10,10.0,10.0,8.0,100.0,medium,54.5,109.0
2026-08-30,cubesmart,3282,2d10089b-0125-45ea-b165-3157a82e9242,12710 Lancaster Hwy,Pineville,NC,28134,35.06947,-80.87911,10x15,10.0,15.0,8.0,150.0,medium,100.5,201.0
2026-08-30,cubesmart,3282,b12d342f-a784-4aa3-a4fd-65f68cab613c,12710 Lancaster Hwy,Pineville,NC,28134,35.06947,-80.87911,10x20,10.0,20.0,8.0,200.0,large,250.0,500.0
2026-08-30,cubesmart,3282,8824bfa5-1c39-4dd0-b516-345774c09ebb,12710 Lancaster Hwy,Pineville,NC,28134,35.06947,-80.87911,10x20,10.0,20.0,8.0,200.0,large,282.5,565.0
2026-08-30,cubesmart,3282,0e5f6188-cbf4-4546-81a7-8dd00020a25a,12710 Lancaster Hwy,Pineville,NC,28134,35.06947,-80.87911,10x25,10.0,25.0,8.0,250.0,large,163.5,327.0
2026-08-30,cubesmart,3282,8c64fe6a-bc29-4e4c-be19-9472eae26b27,12710 Lancaster Hwy,Pineville,NC,28134,35.06947,-80.87911,10x30,10.0,30.0,8.0,300.0,large,471.5,943.0
2026-08-30,cubesmart,3282,e4c126be-fc66-4519-8301-2dd6c42d7abb,12710 Lancaster Hwy,Pineville,NC,28134,35.06947,-80.87911,20 ft,,20.0,,,parking,91.2,152.0
2026-08-30,cubesmart,3282,5593a9f8-7be5-400f-a245-cf9e24960432,12710 Lancaster Hwy,Pineville,NC,28134,35.06947,-80.87911,30 ft,,30.0,,,parking,87.75,117.0
2026-08-30,cubesmart,3282,f773324c-cbc9-45f2-aa6d-bb0b09fa29d5,12710 Lancaster Hwy,Pineville,NC,28134,35.06947,-80.87911,40 ft,,40.0,,,parking,118.8,198.0
2026-08-30,cubesmart,3282,1e655ec7-3d8e-43c6-b420-9934362d8171,12710 Lancaster Hwy,Pineville,NC,28134,35.06947,-80.87911,5x10,5.0,10.0,8.0,50.0,small,55.0,110.0
2026-08-30,cubesmart,3282,e88544d8-eaa8-4fbe-95fb-9edc66adb572,12710 Lancaster Hwy,Pineville,NC,28134,35.06947,-80.87911,5x5,5.0,5.0,8.0,25.0,small,16.5,33.0
2026-08-30,cubesmart,4308,5a0bf2cd-fedd-4396-8e08-edb0c7be10de,13402 Lancaster Hwy,Pineville,NC,28134,35.06116,-80.87708,10x10,10.0,10.0,8.0,100.0,medium,116.4,194.0
2026-08-30,cubesmart,4308,e26e91a9-0f2a-45d4-bf15-1bc2d61a6dec,13402 Lancaster Hwy,Pineville,NC,28134,35.06116,-80.87708,10x10,10.0,10.0,8.0,100.0,medium,98.4,164.0
2026-08-30,cubesmart,4308,1e5a6fde-3640-424f-9d25-811dd6e2932b,13402 Lancaster Hwy,Pineville,NC,28134,35.06116,-80.87708,10x15,10.0,15.0,8.0,150.0,medium,130.8,218.0
2026-08-30,cubesmart,4308,80d4d15a-5f6e-4b98-a6bd-9ceaecb435cf,13402 Lancaster Hwy,Pineville,NC,28134,35.06116,-80.87708,10x15,10.0,15.0,8.0,150.0,medium,131.4,219.0
2026-08-30,cubesmart,4308,ad6eb9c9-3db7-4be8-877c-5d296b1f6785,13402 Lancaster Hwy,Pineville,NC,28134,35.06116,-80.87708,10x15,10.0,15.0,8.0,150.0,medium,139.2,232.0
2026-08-30,cubesmart,4308,73052279-68b3-4d6d-ae2b-221396435b55,13402 Lancaster Hwy,Pineville,NC,28134,35.06116,-80.87708,10x20,10.0,20.0,8.0,200.0,large,210.0,350.0
2026-08-30,cubesmart,4308,7498a3b2-2f2c-4ce3-a9e3-a2b7acc999ed,13402 Lancaster Hwy,Pineville,NC,28134,35.06116,-80.87708,10x20,10.0,20.0,8.0,200.0,large,228.0,380.0
2026-08-30,cubesmart,4308,701e9b35-3acd-4696-934f-7df772d86c49,13402 Lancaster Hwy,Pineville,NC,28134,35.06116,-80.87708,10x25,10.0,25.0,8.0,250.0,large,207.6,346.0
2026-08-30,cubesmart,4308,f636cd5c-87e4-49cb-bd5e-7e4702bd4ebd,13402 Lancaster Hwy,Pineville,NC,28134,35.06116,-80.87708,5x15,5.0,15.0,8.0,75.0,small,69.0,115.0
2026-08-30,cubesmart,4308,15cf16bb-8ca3-42c4-bb96-f04d94959f8b,13402 Lancaster Hwy,Pineville,NC,28134,35.06116,-80.87708,5x5,5.0,5.0,8.0,25.0,small,24.0,40.0
2026-08-30,cubesmart,4308,a8d80d87-66ea-491d-9962-5578305c591a,13402 Lancaster Hwy,Pineville,NC,28134,35.06116,-80.87708,5x5,5.0,5.0,8.0,25.0,small,27.75,37.0
2026-08-30,cubesmart,4308,0fd3e866-0abb-47ab-8870-5012d8e12199,13402 Lancaster Hwy,Pineville,NC,28134,35.06116,-80.87708,9x20,9.0,20.0,8.0,180.0,large,176.4,294.0
2026-08-30,cubesmart,4428,f5b9a96a-8cac-4ede-960d-9fdd924c532e,2701 S Tryon St,Charlotte,NC,28203,35.2044,-80.86998,10x10,10.0,10.0,8.0,100.0,medium,80.0,160.0
2026-08-30,cubesmart,4428,3cc2ebb0-1eab-473c-99b4-2a97ae7d0bd8,2701 S Tryon St,Charlotte,NC,28203,35.2044,-80.86998,10x15,10.0,15.0,8.0,150.0,medium,102.5,205.0
2026-08-30,cubesmart,4428,7ba0e105-130b-4e8b-8dea-53e5c92062d3,2701 S Tryon St,Charlotte,NC,28203,35.2044,-80.86998,10x20,10.0,20.0,8.0,200.0,large,154.0,308.0
2026-08-30,cubesmart,4428,3960a3d1-5ffa-4f27-8317-1be197ff9d0f,2701 S Tryon St,Charlotte,NC,28203,35.2044,-80.86998,5x5,5.0,5.0,8.0,25.0,small,29.0,58.0
2026-08-30,cubesmart,4428,3e3b6101-3790-476f-8c67-6ed42d6f6fe9,2701 S Tryon St,Charlotte,NC,28203,35.2044,-80.86998,5x7,5.0,7.0,8.0,35.0,small,38.5,77.0
2026-08-30,cubesmart,3829,c3a8de7f-d243-44b7-9a13-d99c0a27ca0f,2908 Monroe Rd,Charlotte,NC,28205,35.20391,-80.80577,10x10,10.0,10.0,8.0,100.0,medium,130.5,261.0
